date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:39:13	113/113	---MCZ	200	added ('OK')	text/plain	date:Mon,%2008%20Aug%202022%2008:09:13%20GMT	http://blackzmartx.local/robots.txt		(from )
13:39:16	134029/134029	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Aug%202022%2008:09:14%20GMT	http://blackzmartx.local/	C:/My%20Web%20Sites/BLACKZMART/blackzmartx.local/index.html	(from )
13:39:16	40517/40517	---MCZ	200	added ('OK')	text/css	etag:W/%2262edfda0-9e45%22	http://blackzmartx.local/wp-content/themes/astra/assets/css/minified/main.min.css?ver=3.9.1	C:/My%20Web%20Sites/BLACKZMART/blackzmartx.local/wp-content/themes/astra/assets/css/minified/main.mina560.css	(from http://blackzmartx.local/)
13:39:16	3412/3412	---MCZ	200	added ('OK')	text/css	etag:W/%2262edfda0-d54%22	http://blackzmartx.local/wp-content/themes/astra/assets/css/minified/menu-animation.min.css?ver=3.9.1	C:/My%20Web%20Sites/BLACKZMART/blackzmartx.local/wp-content/themes/astra/assets/css/minified/menu-animation.mina560.css	(from http://blackzmartx.local/)
13:39:17	88932/88932	---MCZ	200	added ('OK')	text/css	etag:W/%2262c2d8bd-15b64%22	http://blackzmartx.local/wp-includes/css/dist/block-library/style.min.css?ver=6.0.1	C:/My%20Web%20Sites/BLACKZMART/blackzmartx.local/wp-includes/css/dist/block-library/style.min37ad.css	(from http://blackzmartx.local/)
13:39:17	19128/19128	---MCZ	200	added ('OK')	text/css	etag:W/%2262ee0ad9-4ab8%22	http://blackzmartx.local/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.15.0	C:/My%20Web%20Sites/BLACKZMART/blackzmartx.local/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min7816.css	(from http://blackzmartx.local/)
13:39:18	716/716	---MC-	200	added ('OK')	application/rss+xml	etag:%22957779189501e06fbb7739683731518a%22	http://blackzmartx.local/comments/feed/	C:/My%20Web%20Sites/BLACKZMART/blackzmartx.local/comments/feed/index.html	(from http://blackzmartx.local/)
13:39:18	107993/107993	---MCZ	200	added ('OK')	text/css	etag:W/%2262ee0ad5-1a5d9%22	http://blackzmartx.local/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.6.8	C:/My%20Web%20Sites/BLACKZMART/blackzmartx.local/wp-content/plugins/elementor/assets/css/frontend-lite.mina4f3.css	(from http://blackzmartx.local/)
13:39:18	1135/1135	---MCZ	200	added ('OK')	text/css	etag:W/%2262ef682b-46f%22	http://blackzmartx.local/wp-content/uploads/elementor/css/post-505.css?ver=1659856939	C:/My%20Web%20Sites/BLACKZMART/blackzmartx.local/wp-content/uploads/elementor/css/post-5050fd3.css	(from http://blackzmartx.local/)
13:39:18	11405/11405	---MCZ	200	added ('OK')	text/css	etag:W/%2262ee0633-2c8d%22	http://blackzmartx.local/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min.css?ver=3.7.2	C:/My%20Web%20Sites/BLACKZMART/blackzmartx.local/wp-content/plugins/elementor-pro/assets/css/frontend-lite.minf3df.css	(from http://blackzmartx.local/)
13:39:18	21577/21577	---MCZ	200	added ('OK')	text/css	etag:W/%2262f09d89-5449%22	http://blackzmartx.local/wp-content/uploads/elementor/css/post-6.css?ver=1659936137	C:/My%20Web%20Sites/BLACKZMART/blackzmartx.local/wp-content/uploads/elementor/css/post-6d422.css	(from http://blackzmartx.local/)
13:39:19	57912/57912	---MCZ	200	added ('OK')	text/css	etag:W/%2262ee0ad9-e238%22	http://blackzmartx.local/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	C:/My%20Web%20Sites/BLACKZMART/blackzmartx.local/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css	(from http://blackzmartx.local/)
13:39:19	675/675	---MCZ	200	added ('OK')	text/css	etag:W/%2262ee0ad9-2a3%22	http://blackzmartx.local/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=5.15.3	C:/My%20Web%20Sites/BLACKZMART/blackzmartx.local/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min52d5.css	(from http://blackzmartx.local/)
13:39:19	677/677	---MCZ	200	added ('OK')	text/css	etag:W/%2262ee0ad9-2a5%22	http://blackzmartx.local/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min.css?ver=5.15.3	C:/My%20Web%20Sites/BLACKZMART/blackzmartx.local/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min52d5.css	(from http://blackzmartx.local/)
13:39:19	669/669	---MCZ	200	added ('OK')	text/css	etag:W/%2262ee0ad9-29d%22	http://blackzmartx.local/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.3	C:/My%20Web%20Sites/BLACKZMART/blackzmartx.local/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min52d5.css	(from http://blackzmartx.local/)
13:39:21	190804/190804	---MCZ	200	added ('OK')	application/json	date:Mon,%2008%20Aug%202022%2008:09:20%20GMT	http://blackzmartx.local/wp-json/	C:/My%20Web%20Sites/BLACKZMART/blackzmartx.local/wp-json/index.html	(from http://blackzmartx.local/)
13:39:21	40609/40609	---MCZ	200	added ('OK')	application/json	date:Mon,%2008%20Aug%202022%2008:09:21%20GMT	http://blackzmartx.local/wp-json/wp/v2/pages/6	C:/My%20Web%20Sites/BLACKZMART/blackzmartx.local/wp-json/wp/v2/pages/6.json	(from http://blackzmartx.local/)
13:39:22	810/810	---MCZ	200	added ('OK')	text/xml	date:Mon,%2008%20Aug%202022%2008:09:22%20GMT	http://blackzmartx.local/xmlrpc.php?rsd	C:/My%20Web%20Sites/BLACKZMART/blackzmartx.local/xmlrpc0db0.php	(from http://blackzmartx.local/)
13:39:22	1045/1045	---MCZ	200	added ('OK')	text/xml	etag:W/%2252a8c1b7-415%22	http://blackzmartx.local/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/BLACKZMART/blackzmartx.local/wp-includes/wlwmanifest.xml	(from http://blackzmartx.local/)
13:39:23	2307/2307	---MCZ	200	added ('OK')	application/json	date:Mon,%2008%20Aug%202022%2008:09:23%20GMT	http://blackzmartx.local/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fblackzmartx.local%2F	C:/My%20Web%20Sites/BLACKZMART/blackzmartx.local/wp-json/oembed/1.0/embedcd51.json	(from http://blackzmartx.local/)
13:39:24	2382/2382	---MCZ	200	added ('OK')	text/xml	date:Mon,%2008%20Aug%202022%2008:09:23%20GMT	http://blackzmartx.local/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fblackzmartx.local%2F&format=xml	C:/My%20Web%20Sites/BLACKZMART/blackzmartx.local/wp-json/oembed/1.0/embedd8ed	(from http://blackzmartx.local/)
13:39:24	1484/1484	---M--	200	added ('OK')	image/png	etag:%2262ef53e6-5cc%22	http://blackzmartx.local/wp-content/uploads/2022/08/cropped-android-chrome-512x512-2-32x32.png	C:/My%20Web%20Sites/BLACKZMART/blackzmartx.local/wp-content/uploads/2022/08/cropped-android-chrome-512x512-2-32x32.png	(from http://blackzmartx.local/)
13:39:24	14368/14368	---M--	200	added ('OK')	image/png	etag:%2262ef53e6-3820%22	http://blackzmartx.local/wp-content/uploads/2022/08/cropped-android-chrome-512x512-2-192x192.png	C:/My%20Web%20Sites/BLACKZMART/blackzmartx.local/wp-content/uploads/2022/08/cropped-android-chrome-512x512-2-192x192.png	(from http://blackzmartx.local/)
13:39:24	11775/11775	---MCZ	200	added ('OK')	text/css	etag:W/%2262ee0ad5-2dff%22	http://blackzmartx.local/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css	C:/My%20Web%20Sites/BLACKZMART/blackzmartx.local/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css	(from http://blackzmartx.local/)
13:39:24	13311/13311	---M--	200	added ('OK')	image/png	etag:%2262ef53e6-33ff%22	http://blackzmartx.local/wp-content/uploads/2022/08/cropped-android-chrome-512x512-2-180x180.png	C:/My%20Web%20Sites/BLACKZMART/blackzmartx.local/wp-content/uploads/2022/08/cropped-android-chrome-512x512-2-180x180.png	(from http://blackzmartx.local/)
13:39:25	12992/12992	---MCZ	200	added ('OK')	text/css	etag:W/%2262ee0ad5-32c0%22	http://blackzmartx.local/wp-content/plugins/elementor/assets/css/widget-icon-box.min.css	C:/My%20Web%20Sites/BLACKZMART/blackzmartx.local/wp-content/plugins/elementor/assets/css/widget-icon-box.min.css	(from http://blackzmartx.local/)
13:39:27	104394/104394	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Aug%202022%2008:09:25%20GMT	http://blackzmartx.local/games/	C:/My%20Web%20Sites/BLACKZMART/blackzmartx.local/games/index.html	(from http://blackzmartx.local/)
13:39:42	92062/92062	---M--	200	added ('OK')	image/jpeg	etag:%2262ee7950-1679e%22	http://blackzmartx.local/wp-content/uploads/2022/08/228725514_377105304038943_8349896415277334543_n.jpg	C:/My%20Web%20Sites/BLACKZMART/blackzmartx.local/wp-content/uploads/2022/08/228725514_377105304038943_8349896415277334543_n.jpg	(from http://blackzmartx.local/)
13:39:44	108452/108452	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Aug%202022%2008:09:43%20GMT	http://blackzmartx.local/rps-game/	C:/My%20Web%20Sites/BLACKZMART/blackzmartx.local/rps-game/index.html	(from http://blackzmartx.local/)
13:40:01	223069/223069	---M--	200	added ('OK')	image/jpeg	etag:%2262ee7951-3675d%22	http://blackzmartx.local/wp-content/uploads/2022/08/244701116_245307250883494_8435323235908411761_n.jpg	C:/My%20Web%20Sites/BLACKZMART/blackzmartx.local/wp-content/uploads/2022/08/244701116_245307250883494_8435323235908411761_n.jpg	(from http://blackzmartx.local/)
13:40:03	114107/114107	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Aug%202022%2008:10:02%20GMT	http://blackzmartx.local/blackjack-game/	C:/My%20Web%20Sites/BLACKZMART/blackzmartx.local/blackjack-game/index.html	(from http://blackzmartx.local/)
13:40:10	162290/162290	---M--	200	added ('OK')	image/jpeg	etag:%2262ee7953-279f2%22	http://blackzmartx.local/wp-content/uploads/2022/08/269228109_637971274306495_2395077576332489255_n.jpg	C:/My%20Web%20Sites/BLACKZMART/blackzmartx.local/wp-content/uploads/2022/08/269228109_637971274306495_2395077576332489255_n.jpg	(from http://blackzmartx.local/)
13:40:11	285165/285165	---M--	200	added ('OK')	image/jpeg	etag:%2262ee794e-459ed%22	http://blackzmartx.local/wp-content/uploads/2022/08/188870318_300195811755616_5311360310945839776_n.jpg	C:/My%20Web%20Sites/BLACKZMART/blackzmartx.local/wp-content/uploads/2022/08/188870318_300195811755616_5311360310945839776_n.jpg	(from http://blackzmartx.local/)
13:40:13	107504/107504	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Aug%202022%2008:10:11%20GMT	http://blackzmartx.local/projects/	C:/My%20Web%20Sites/BLACKZMART/blackzmartx.local/projects/index.html	(from http://blackzmartx.local/)
13:40:14	1025/1025	---MCZ	200	added ('OK')	text/css	etag:W/%2262edfda0-401%22	http://blackzmartx.local/wp-content/themes/astra/assets/css/minified/galleries.min.css?ver=3.9.1	C:/My%20Web%20Sites/BLACKZMART/blackzmartx.local/wp-content/themes/astra/assets/css/minified/galleries.mina560.css	(from http://blackzmartx.local/)
13:40:15	18468/18468	---MCZ	200	added ('OK')	text/css	etag:W/%2262ee0ad9-4824%22	http://blackzmartx.local/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=3.6.8	C:/My%20Web%20Sites/BLACKZMART/blackzmartx.local/wp-content/plugins/elementor/assets/lib/animations/animations.mina4f3.css	(from http://blackzmartx.local/)
13:40:15	16772/16772	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2262edfda2-4184%22	http://blackzmartx.local/wp-content/themes/astra/assets/js/minified/frontend.min.js?ver=3.9.1	C:/My%20Web%20Sites/BLACKZMART/blackzmartx.local/wp-content/themes/astra/assets/js/minified/frontend.mina560.js	(from http://blackzmartx.local/)
13:40:16	5184/5184	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2262ee0634-1440%22	http://blackzmartx.local/wp-content/plugins/elementor-pro/assets/js/webpack-pro.runtime.min.js?ver=3.7.2	C:/My%20Web%20Sites/BLACKZMART/blackzmartx.local/wp-content/plugins/elementor-pro/assets/js/webpack-pro.runtime.minf3df.js	(from http://blackzmartx.local/)
13:40:17	4957/4957	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2262ee0ad9-135d%22	http://blackzmartx.local/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=3.6.8	C:/My%20Web%20Sites/BLACKZMART/blackzmartx.local/wp-content/plugins/elementor/assets/js/webpack.runtime.mina4f3.js	(from http://blackzmartx.local/)
13:40:18	89521/89521	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%226048e0ac-15db1%22	http://blackzmartx.local/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/My%20Web%20Sites/BLACKZMART/blackzmartx.local/wp-includes/js/jquery/jquery.minaf6c.js	(from http://blackzmartx.local/)
13:40:19	11224/11224	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225fb4e3fe-2bd8%22	http://blackzmartx.local/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/My%20Web%20Sites/BLACKZMART/blackzmartx.local/wp-includes/js/jquery/jquery-migrate.mind617.js	(from http://blackzmartx.local/)
